DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP_ORIGINAL,IS,VSH,RHOm,RHOf,PHIE,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2105.7109,125.383,329.868,105.467,2.254,2430.95156441,924.005966023,2.6308829745689,5479.36482617,2082.70944742,0.741411780878,2.76862588494,1.09,0.306575687625,1.0,4,15.000020851357618,1.09,2.8,5479.36482618014,2430.95156441,924.005966023,2.254,4,2430.95156441,924.005966023,2.254,4,2430.95156441,924.005966023,2.254,4,5479.36482618014,5479.36482618014,5479.36482618014,2.6308829745689,2.6308829745689,2.6308829745689,1.0
2105.8633,126.629,331.438,110.062,2.246,2407.03156465,919.629010554,2.617394119830956,5406.1928942,2065.4867577,0.804577634202,2.77873242147,1.09,0.315462896726,1.0,4,15.00001921435904,1.09,2.8,5406.192894203899,2407.03156465,919.629010554,2.246,4,2407.03156465,919.629010554,2.246,4,2407.03156465,919.629010554,2.246,4,5406.192894203899,5406.192894203899,5406.192894203899,2.617394119830956,2.617394119830956,2.617394119830956,1.0
2106.0156,127.359,331.95,114.765,2.237,2393.2348715,918.210573882,2.606411796568525,5353.66640756,2054.03705377,0.869228125644,2.7890765001,1.09,0.324927394423,1.0,4,15.000017785255986,1.09,2.8,5353.6664075455,2393.2348715,918.210573882,2.237,4,2393.2348715,918.210573882,2.237,4,2393.2348715,918.210573882,2.237,4,5353.6664075455,5353.6664075455,5353.6664075455,2.606411796568525,2.606411796568525,2.606411796568525,1.0
2106.168,127.227,330.361,116.432,2.231,2395.71789007,922.627065543,2.5966265022368837,5344.84661275,2058.38098323,0.892143789951,2.79274300639,1.09,0.329904750325,1.0,4,15.000017328423151,1.09,2.8,5344.84661274617,2395.71789007,922.627065543,2.231,4,2395.71789007,922.627065543,2.231,4,2395.71789007,922.627065543,2.231,4,5344.84661274617,5344.84661274617,5344.84661274617,2.5966265022368837,2.5966265022368837,2.5966265022368837,1.0
2106.3203,126.17,328.214,113.973,2.235,2415.78822224,928.662397095,2.6013632400719144,5399.28667671,2075.56045751,0.858340779435,2.78733452471,1.09,0.325412885126,1.0,4,15.000018010847098,1.09,2.8,5399.2866767064,2415.78822224,928.662397095,2.235,4,2415.78822224,928.662397095,2.235,4,2415.78822224,928.662397095,2.235,4,5399.2866767064,5399.2866767064,5399.2866767064,2.6013632400719144,2.6013632400719144,2.6013632400719144,1.0
2106.4729,125.388,327.406,107.759,2.243,2430.85462724,930.954228084,2.6111430120930326,5452.40692889,2088.13033359,0.772919100969,2.77366705616,1.09,0.31518527028,1.0,4,15.000020001372551,1.09,2.8,5452.40692889932,2430.85462724,930.954228084,2.243,4,2430.85462724,930.954228084,2.243,4,2430.85462724,930.954228084,2.243,4,5452.40692889932,5452.40692889932,5452.40692889932,2.6111430120930326,2.6111430120930326,2.6111430120930326,1.0
2106.6252,125.463,328.682,97.9,2.244,2429.40149686,927.340103809,2.619752436976858,5451.57695894,2080.95119295,0.637390885972,2.75198254176,1.09,0.305648542625,1.0,4,16.286963552646668,1.09,2.8,5451.57695895384,2429.40149686,927.340103809,2.244,4,2429.40149686,927.340103809,2.244,4,2429.40149686,927.340103809,2.244,4,5451.57695895384,5451.57695895384,5451.57695895384,2.619752436976858,2.619752436976858,2.619752436976858,1.0
2106.7776,126.502,331.953,87.481,2.232,2409.44807197,918.202275623,2.624092899721023,5377.88809663,2049.42747919,0.494164547392,2.72906632758,1.09,0.303261874897,1.0,4,19.76576406919554,1.09,2.8,5377.888096637041,2409.44807197,918.202275623,2.232,4,2409.44807197,918.202275623,2.232,4,2409.44807197,918.202275623,2.232,4,5377.888096637041,5377.888096637041,5377.888096637041,2.624092899721023,2.624092899721023,2.624092899721023,1.0
2106.9299,127.511,334.193,82.025,2.219,2390.38200626,912.04782865,2.620895452158697,5304.25767189,2023.83413177,0.41916282906,2.71706605265,1.09,0.306112988983,1.0,4,21.66433476720841,1.09,2.8,5304.2576718909395,2390.38200626,912.04782865,2.219,4,2390.38200626,912.04782865,2.219,4,2390.38200626,912.04782865,2.219,4,5304.2576718909395,5304.2576718909395,5304.2576718909395,2.620895452158697,2.620895452158697,2.620895452158697,1.0
2107.0825,128.118,334.982,82.826,2.224,2379.05680701,909.899636398,2.614636506975561,5291.02233878,2023.61679135,0.430173895113,2.71882782322,1.09,0.303793817962,1.0,4,21.408316839122342,1.09,2.8,5291.02233879024,2379.05680701,909.899636398,2.224,4,2379.05680701,909.899636398,2.224,4,2379.05680701,909.899636398,2.224,4,5291.02233879024,5291.02233879024,5291.02233879024,2.614636506975561,2.614636506975561,2.614636506975561,1.0
